v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326,wkt_srid_3857,degree,betweenness_centrality_node,clustering_coefficient
72,11.8943048129965,51.4057039044654,substation,380000;110000,50,Umspannwerk Lauchstädt,50Hertz;enviaM,,SRID=4326;POINT(11.8943048129965 51.4057039044654),SRID=3857;POINT(1324067.95512275 6693374.25238603),4,0.15421931882896295,0.16666666666666666
73,13.1570905224719,51.8284516784236,substation,380000,50,Umspannwerk Schönewalde,50Hertz,,SRID=4326;POINT(13.1570905224719 51.8284516784236),SRID=3857;POINT(1464640.61728258 6769166.55481189),1,0.0,0.0
74,13.9024347133056,51.874723530085,substation,380000;110000,50,Umspannwerk Ragow,50Hertz,RAG,SRID=4326;POINT(13.9024347133056 51.874723530085),SRID=3857;POINT(1547611.95307191 6777505.48102515),6,0.028512885444021273,0.13333333333333333
75,11.5165549994374,51.5843592162484,substation,380000;110000,50,Umspannwerk Klostermansfeld,50Hertz,,SRID=4326;POINT(11.5165549994374 51.5843592162484),SRID=3857;POINT(1282017.0382301 6725318.37528252),2,0.0,1.0
76,8.70221847039735,51.7363525890089,substation,380000;110000,,Umspannwerk Elsen,TenneT,,SRID=4326;POINT(8.70221847039735 51.7363525890089),SRID=3857;POINT(968726.528896454 6752594.28811044),2,0.002907992947254573,0.0
77,8.99279243937742,51.3430094105575,substation,380000;110000,50,Umspannwerk Twistetal,Eon_Netz,,SRID=4326;POINT(8.99279243937742 51.3430094105575),SRID=3857;POINT(1001073.07516109 6682193.87293107),2,0.0014736305030060525,0.0
78,11.6463786860412,50.5348769896165,substation,380000;220000;110000,50,Umspannwerk Remptendorf,50Hertz Transmission GmbH,RDF;RE,SRID=4326;POINT(11.6463786860412 50.5348769896165),SRID=3857;POINT(1296468.94491574 6539427.61427731),7,0.11858881277799414,0.14285714285714285
79,14.4719654746961,51.5538127702297,substation,380000;110000,50,Graustein,50Hertz_Transmission;enviaM,GRS,SRID=4326;POINT(14.4719654746961 51.5538127702297),SRID=3857;POINT(1611011.82742101 6719847.69286396),2,0.0001599103031862587,0.0
80,14.5081092115389,51.4137104048148,substation,380000,50,Umspannwerk Bärwalde,50Hertz,,SRID=4326;POINT(14.5081092115389 51.4137104048148),SRID=3857;POINT(1615035.32980171 6694803.16392564),4,0.008543877522886994,0.0
81,14.4281791800258,51.8888603767988,substation,380000;110000,50,Umspannwerk Preilack,50Hertz,PRL,SRID=4326;POINT(14.4281791800258 51.8888603767988),SRID=3857;POINT(1606137.55939458 6780054.8775568),5,0.013477761987723207,0.1
82,8.14191383627294,53.5640011817982,plant,,,Uniper Kraftwerk Wilhelmshaven,EON_Netz,,SRID=4326;POINT(8.14191383627294 53.5640011817982),SRID=3857;POINT(906353.702336613 7088011.97809342),1,0.0,0.0
83,10.1562825155965,54.2755482828972,substation,220000;110000,50,Kiel-Süd,TenneT;Schleswig-Holstein Netz,,SRID=4326;POINT(10.1562825155965 54.2755482828972),SRID=3857;POINT(1130592.19798883 7222515.52587547),3,0.004282655246252677,0.3333333333333333
84,10.1773541417844,54.3395212774033,generator,,,Gemeinschaftskraftwerk Kiel,E.ON Kraftwerke GmbH;Stadtwerke Kiel AG,,SRID=4326;POINT(10.1773541417844 54.3395212774033),SRID=3857;POINT(1132937.88068625 7234721.59879749),1,0.0,0.0
85,7.03491005788042,52.2028530841971,substation,380000;220000;110000,,Station Gronau,RWE,,SRID=4326;POINT(7.03491005788042 52.2028530841971),SRID=3857;POINT(783122.605419727 6836887.32820529),2,0.0,1.0
86,7.30824781629083,52.4767901583642,substation,380000;220000;110000,50,Hanekenfähr,Amprion,,SRID=4326;POINT(7.30824781629083 52.4767901583642),SRID=3857;POINT(813550.425500548 6886798.63958507),12,0.1545414033542004,0.045454545454545456
87,7.06034476225792,51.6964980793073,substation,380000;220000;110000,50,Station Kusenhorst,RWE,,SRID=4326;POINT(7.06034476225792 51.6964980793073),SRID=3857;POINT(785953.983759508 6745433.35639174),10,0.1842699710767808,0.06666666666666667
88,6.67470493676912,51.3249557292618,substation,220000;110000,,Station Gellep,RWE,,SRID=4326;POINT(6.67470493676912 51.3249557292618),SRID=3857;POINT(743024.754756488 6678977.17631151),2,0.003025791165218347,0.0
89,6.72376717933502,51.3556543954881,substation,220000;110000,50,Station Mündelheim,RWE,,SRID=4326;POINT(6.72376717933502 51.3556543954881),SRID=3857;POINT(748486.338616099 6684447.63509408),6,0.012029619389890134,0.06666666666666667
90,7.54571775348996,51.9703244532995,substation,380000;110000,50,Station Roxel,Amprion,,SRID=4326;POINT(7.54571775348996 51.9703244532995),SRID=3857;POINT(839985.457988267 6794761.5124726),2,0.010683221049874807,0.0
91,7.30460120682915,52.4817909166958,plant,,,Erdgaskraftwerk Emsland,RWE AG,,SRID=4326;POINT(7.30460120682915 52.4817909166958),SRID=3857;POINT(813144.486792154 6887712.65906938),1,0.0,0.0
92,7.30433880131157,52.4824259961208,substation,380000,,,,,SRID=4326;POINT(7.30433880131157 52.4824259961208),SRID=3857;POINT(813115.275943555 6887828.74389295),1,0.0,0.0
93,7.27715397426964,52.7532426203196,substation,380000;110000,50,Meppen,TenneT,MEPP,SRID=4326;POINT(7.27715397426964 52.7532426203196),SRID=3857;POINT(810089.074839944 6937484.2800363),1,0.0,0.0
94,8.30775696202904,52.3456357754793,substation,380000;220000;110000,50,Wehrendorf,Amprion,,SRID=4326;POINT(8.30775696202904 52.3456357754793),SRID=3857;POINT(924815.274647346 6862863.73785895),4,0.010684713277354324,0.3333333333333333
95,7.88957673752775,52.2773967844269,substation,380000;220000;110000,50,Station Westerkappeln,Amprion,,SRID=4326;POINT(7.88957673752775 52.2773967844269),SRID=3857;POINT(878263.664996046 6850438.59987215),6,0.015565169556241862,0.2
96,7.31784997667688,52.4691115144199,substation,220000,50,Benteler Stahlwerk,,,SRID=4326;POINT(7.31784997667688 52.4691115144199),SRID=3857;POINT(814619.33310524 6885395.36859831),1,0.0,0.0
98,12.2147735094259,54.1003234808405,substation,380000,50,Bentwisch HGÜ,50Hertz Transmission,,SRID=4326;POINT(12.2147735094259 54.1003234808405),SRID=3857;POINT(1359742.36722446 7189179.30213337),2,0.004282655246252677,0.0
99,6.99647662277982,49.3754093214106,substation,380000;220000;110000,50,Umspannwerk Uchtelfangen,Amprion,,SRID=4326;POINT(6.99647662277982 49.3754093214106),SRID=3857;POINT(778844.214994891 6338802.23619638),6,0.08555496590011938,0.13333333333333333
100,6.47473981351713,49.922469309419,substation,380000;220000;110000,50,Station Niederstedem,Amprion; Westnetz,,SRID=4326;POINT(6.47473981351713 49.922469309419),SRID=3857;POINT(720764.739059662 6432859.70187708),7,0.03851024125326523,0.14285714285714285
101,11.6993927384808,53.5722744896829,substation,380000,,Wessin,50Hertz,,SRID=4326;POINT(11.6993927384808 53.5722744896829),SRID=3857;POINT(1302370.44223821 7089562.79900337),2,0.039961228409240115,0.0
102,11.3706374165175,53.6009910913085,substation,380000;110000,50,Görries,50Hertz;EON_edis,Gös,SRID=4326;POINT(11.3706374165175 53.6009910913085),SRID=3857;POINT(1265773.56720167 7094948.04461531),2,0.039961228409240115,0.0
103,6.94821096676896,51.4445758936096,substation,380000;110000,,Station Rosenblumendelle,RWE,,SRID=4326;POINT(6.94821096676896 51.4445758936096),SRID=3857;POINT(773471.306744959 6700314.03780132),2,0.0016630379410292097,0.0
104,6.92675898550662,51.4992056970517,substation,380000;220000,50,Station Büscherhof,RWE,,SRID=4326;POINT(6.92675898550662 51.4992056970517),SRID=3857;POINT(771083.28311433 6710077.04538898),7,0.010601635893196478,0.0
105,6.68078100082738,51.6463022042214,substation,380000;220000;110000,,Station Niederrhein,RWE,,SRID=4326;POINT(6.68078100082738 51.6463022042214),SRID=3857;POINT(743701.13911348 6736423.28845178),9,0.11942912957812842,0.027777777777777776
106,7.16721463545721,51.3899067765993,substation,380000;220000;110000,50,Station Hattingen,Amprion,,SRID=4326;POINT(7.16721463545721 51.3899067765993),SRID=3857;POINT(797850.683625194 6690555.68949522),5,0.046260907391014836,0.1
