edge,bet_cen_edge
'(52503, 77610)',0.002162160896611951
'(19716, 53221)',0.036609786070204264
'(25083, 25084)',0.005293523009713831
'(55492, 55493)',0.009773322716612524
'(57842, 53764)',0.000798691023136668
'(52568, 52569)',0.08868022913975102
'(61700, 54316)',0.004741248647220996
'(57845, 16165)',0.03611541937653914
'(36306, 53407)',0.0007690772360863962
'(54266, 55951)',0.0011115169308787481
'(53706, 53707)',0.0032344615903296273
'(56625, 16348)',0.001081665765278529
'(58649, 77599)',0.002162160896611951
'(24957, 54346)',0.12821496132948126
'(74908, 52374)',0.001081665765278529
'(52464, 52465)',0.08893492130754448
'(75449, 16232)',0.0010810804483059756
'(53727, 53728)',0.003241485394000267
'(75459, 54350)',0.003446091303427315
'(55807, 55841)',0.0005401305022722008
'(52064, 16212)',0.010264900373628866
'(62967, 62968)',0.006472435082494574
'(74814, 53016)',0.043344265010416834
'(16692, 53661)',0.003552494960978308
'(75764, 52362)',0.001081665765278529
'(53157, 22607)',0.13007252514635215
'(58375, 24202)',0.10156655086657192
'(24578, 57561)',0.001081665765278529
'(54186, 55584)',0.12837195789553377
'(52619, 52621)',0.009526867074725486
'(24669, 58367)',0.003241485394000267
'(16273, 16287)',0.035092375097375214
'(17776, 54017)',0.0021600147343792554
'(16440, 52577)',0.0009752356291025842
'(75312, 76123)',0.001081665765278529
'(58250, 16238)',0.00017647306722482493
'(75736, 55585)',0.0005285997579129
'(57809, 53999)',0.0011046784775827494
'(57915, 57917)',0.03954685895924778
'(17175, 23776)',0.01375839858274642
'(17015, 2878)',0.0026837935244023448
'(54300, 54590)',0.13920534406126914
'(53364, 53379)',0.0043196392574434755
'(51970, 62724)',0.0022775658930337134
'(51829, 51836)',0.0004403144478861078
'(55333, 55340)',0.004026217852376673
'(75535, 18447)',0.04374246265036677
'(58378, 58382)',0.03775173716503001
'(75697, 16138)',0.0012863673693852171
'(54535, 54538)',0.002162160896611951
'(20177, 55341)',0.001081665765278529
'(75453, 53828)',0.01699366390703145
'(57774, 58044)',0.10030421726243202
'(78044, 54321)',0.005381765191121599
'(16512, 11150)',0.002529798487072689
'(29453, 79781)',0.0005478566863099043
'(55866, 20444)',0.0016207426970001335
'(16979, 53612)',0.0010034283966139023
'(18251, 53828)',0.0165579093570839
'(54619, 54620)',0.002162160896611951
'(67141, 71196)',0.00587593855576549
'(75438, 75618)',0.005624702858728972
'(52204, 52205)',0.0016820746249781233
'(54445, 46314)',0.18863439259130843
'(52512, 52525)',0.0011853777249077088
'(51931, 16109)',0.001081665765278529
'(53527, 53525)',0.00705324581116515
'(17150, 28560)',0.0021609902626668447
'(75627, 54360)',0.015612760487885744
'(75734, 53633)',6.73114518436314e-06
'(51815, 51816)',0.0017908116532855847
'(52670, 75820)',0.03211917425073974
'(57937, 52556)',0.0040667176474176395
'(75495, 79009)',0.0033904179040545692
'(54637, 16194)',0.001081665765278529
'(24821, 53886)',0.001081665765278529
'(75640, 54564)',0.002009528980583888
'(51856, 52142)',0.02692188216892681
'(52251, 52255)',0.019208347088282188
'(54935, 55026)',0.003526729865291249
'(75488, 53246)',0.00040852337460542653
'(75541, 53339)',0.0019296019209099533
'(18619, 16138)',0.001173752383865959
'(75557, 20409)',0.002162160896611951
'(51956, 16124)',0.010498314900308258
'(52411, 16287)',0.008323477496003186
'(57736, 54002)',0.0012317591539951114
'(53034, 53035)',0.0026927507322315326
'(52614, 16134)',0.003433532402279987
'(51996, 51997)',0.003402614794873158
'(75440, 25027)',0.023494661834884384
'(57848, 57854)',0.0009702207168984769
'(52899, 78332)',0.003748564997888957
'(78722, 63504)',0.0028605290551902635
'(74824, 77585)',0.005764660044000232
'(52235, 57291)',0.022431762467750718
'(128, 75453)',0.009692849065482921
'(52603, 52604)',0.003409651469799813
'(75613, 53520)',0.003241485394000267
'(56625, 56626)',0.002162160896611951
'(17169, 77116)',0.003104540732988544
'(55552, 55567)',0.003241485394000267
'(24650, 24365)',0.03527796058749038
'(51874, 51875)',0.007547077044102463
'(54403, 55552)',0.003241485394000267
'(75495, 18274)',0.004426819156788973
'(16452, 52629)',0.009502702275246572
'(57687, 19099)',0.014570205974343348
'(16862, 54578)',0.002737322619691468
'(65919, 66395)',0.0020583646868124967
'(53391, 52986)',0.10238136760402589
'(75462, 52339)',0.04228419774353672
'(75490, 16176)',0.08412337234963439
'(38386, 55683)',0.001081665765278529
'(17783, 75498)',0.0010340599848441925
'(75635, 54416)',0.001081665765278529
'(75627, 54358)',0.004228720021040194
'(75024, 54784)',0.012063592254361257
'(52606, 52607)',0.003241485394000267
'(54543, 55216)',0.017166176171043667
'(16588, 52037)',0.003241485394000267
'(20528, 57099)',0.0011068343950983216
'(16537, 52753)',0.03828134935189555
'(58329, 56626)',0.003241485394000267
'(51875, 51876)',0.006472435082494574
'(29454, 55899)',0.003772367888106125
'(52813, 52814)',0.0010728915851375867
'(57358, 56707)',1.7754614834117266e-05
'(54611, 54613)',0.000977933661623687
'(21175, 79896)',0.08324119284466398
'(75600, 55683)',0.0032391441261100536
'(25027, 16165)',0.03590349649904154
'(77801, 53376)',0.002162160896611951
'(75641, 19456)',1.1998997937342988e-05
'(51936, 52314)',0.0036947683713573244
'(52900, 56298)',0.0005843414442657277
'(54411, 54412)',0.011447359743875608
'(54580, 16862)',0.0010720242940361923
'(49215, 24958)',0.002162160896611951
'(75685, 16960)',0.001081665765278529
'(51892, 32724)',0.002162160896611951
'(58325, 78968)',0.019514966150621038
'(25083, 17008)',0.0008156587118187992
'(20607, 55494)',0.0005596063089408036
'(75637, 54453)',0.04273090318773535
'(78509, 24263)',0.007357844066875977
'(75556, 52891)',0.007068677971869004
'(58295, 74976)',0.0015767812115258602
'(75453, 52853)',0.011089383388105339
'(9604, 52779)',0.028698979864386878
'(52320, 16316)',0.001081665765278529
'(28560, 16231)',1.170633945106633e-06
'(58126, 58795)',0.003241485394000267
'(52046, 19595)',0.009692849065482921
'(53159, 53813)',0.003239729443082607
'(54889, 55841)',0.002840357220620686
'(51328, 53165)',0.006472435082494574
'(52504, 77610)',0.003241485394000267
'(75471, 52215)',0.027929018267403207
'(57737, 57738)',0.0012629969633755544
'(54586, 55048)',0.003206773310304182
'(56966, 56968)',0.0008675594772502182
'(24957, 24984)',0.13886195400264711
'(17039, 53441)',0.0008690981514128806
'(54483, 54484)',0.017242197893012776
'(57820, 57822)',0.0008647180294016427
'(52544, 52545)',0.01803047844526472
'(52387, 53407)',0.00012378478441215054
'(58175, 36307)',0.0014013951615357778
'(78916, 56017)',0.010565482113326502
'(75490, 54612)',0.0023174780070399324
'(62968, 24554)',0.007547077044102463
'(52601, 52602)',0.006738450226049713
'(74903, 3427)',0.07731959729432927
'(52820, 55730)',0.0021609902626668447
'(75476, 55442)',0.06553284717486624
'(16436, 52665)',0.09199405149846468
'(58188, 79502)',0.006215554792971177
'(58355, 54266)',0.0021826469906513174
'(75637, 75883)',0.012428074299356075
'(75510, 75514)',0.08460005370570119
'(52525, 56965)',6.194604626189266e-06
'(52557, 52560)',0.00444010585206599
'(58667, 52142)',0.007985143596091586
'(51839, 51840)',0.01122340231414633
'(24604, 75923)',0.020888320448335978
'(52335, 52337)',0.005969647803071275
'(53105, 53106)',0.10124697060452481
'(54941, 54908)',0.0010810804483059756
'(52215, 52368)',0.014511689918269404
'(75475, 76403)',0.03996342907460102
'(24653, 58382)',0.03759288653391706
'(52507, 54963)',0.052625559063360826
