# Edges Betweenness Centrality, Cumulative Propability
0.006553,0.578486
0.006562,0.578947
0.006614,0.579409
0.006668,0.579871
0.006671,0.580332
0.006671,0.580794
0.006677,0.581256
0.006679,0.581717
0.006714,0.582179
0.006738,0.582641
0.006801,0.583102
0.006828,0.583564
0.006829,0.584026
0.006841,0.584488
0.006896,0.584949
0.006897,0.585411
0.006898,0.585873
0.006908,0.586334
0.006933,0.586796
0.006934,0.587258
0.006945,0.587719
0.006961,0.588181
0.006965,0.588643
0.006972,0.589104
0.006980,0.589566
0.006990,0.590028
0.006996,0.590489
0.007000,0.590951
0.007049,0.591413
0.007053,0.591874
0.007069,0.592336
0.007081,0.592798
0.007094,0.593259
0.007147,0.593721
0.007148,0.594183
0.007204,0.594645
0.007220,0.595106
0.007244,0.595568
0.007289,0.596030
0.007314,0.596491
0.007314,0.596953
0.007347,0.597415
0.007349,0.597876
0.007358,0.598338
0.007368,0.598800
0.007375,0.599261
0.007448,0.599723
0.007465,0.600185
0.007490,0.600646
0.007499,0.601108
0.007504,0.601570
0.007510,0.602031
0.007527,0.602493
0.007547,0.607572
0.007588,0.608033
0.007613,0.608495
0.007641,0.608957
0.007661,0.609418
0.007676,0.609880
0.007689,0.610342
0.007705,0.610803
0.007709,0.611265
0.007731,0.611727
0.007773,0.612188
0.007786,0.612650
0.007789,0.613112
0.007804,0.613573
0.007814,0.614035
0.007853,0.614497
0.007882,0.614958
0.007918,0.615420
0.007985,0.615882
0.007992,0.616343
0.007995,0.616805
0.007997,0.617267
0.008040,0.617729
0.008053,0.618190
0.008058,0.618652
0.008069,0.619114
0.008069,0.619575
0.008072,0.620037
0.008077,0.620499
0.008093,0.620960
0.008104,0.621422
0.008107,0.621884
0.008129,0.622345
0.008140,0.622807
0.008157,0.623269
0.008195,0.623730
0.008202,0.624192
0.008226,0.624654
0.008227,0.625115
0.008235,0.625577
0.008323,0.626039
0.008346,0.626500
0.008370,0.626962
0.008374,0.627424
0.008383,0.627886
0.008389,0.628347
0.008458,0.628809
0.008546,0.629271
0.008581,0.629732
0.008607,0.630194
0.008621,0.635272
0.008640,0.635734
0.008699,0.636196
0.008744,0.636657
0.008754,0.637119
0.008814,0.637581
0.008841,0.638042
0.008849,0.638504
0.008898,0.638966
0.008898,0.639428
0.008918,0.639889
0.008984,0.640351
0.009044,0.640813
0.009055,0.641274
0.009058,0.641736
0.009127,0.642198
0.009144,0.642659
0.009147,0.643121
0.009151,0.643583
0.009157,0.644044
0.009159,0.644506
0.009161,0.644968
0.009163,0.645429
0.009206,0.645891
0.009220,0.646353
0.009222,0.646814
0.009249,0.647276
0.009266,0.647738
0.009314,0.648199
0.009315,0.648661
0.009404,0.649123
0.009412,0.649584
0.009435,0.650046
0.009464,0.650508
0.009498,0.650970
0.009503,0.651431
0.009516,0.651893
0.009527,0.652355
0.009583,0.652816
0.009598,0.653278
0.009652,0.653740
0.009664,0.654201
0.009667,0.654663
0.009693,0.660665
0.009773,0.661127
0.009843,0.661588
0.009869,0.662050
0.009888,0.662512
0.009903,0.662973
0.009971,0.663435
0.009986,0.663897
0.010031,0.664358
0.010052,0.664820
0.010062,0.665282
0.010080,0.665743
0.010168,0.666205
0.010172,0.666667
0.010265,0.667128
0.010270,0.667590
0.010284,0.668052
0.010366,0.668513
0.010369,0.668975
0.010388,0.669437
0.010425,0.669898
0.010451,0.670360
0.010478,0.670822
0.010498,0.671283
0.010513,0.671745
0.010565,0.672207
0.010583,0.672669
0.010612,0.673130
0.010623,0.673592
0.010731,0.674054
0.010764,0.679132
0.010836,0.679594
0.010925,0.680055
0.010927,0.680517
0.011081,0.680979
0.011089,0.681440
0.011223,0.681902
0.011335,0.682364
0.011338,0.682825
0.011356,0.683287
0.011378,0.683749
0.011382,0.684211
0.011421,0.684672
0.011447,0.685134
0.011473,0.685596
0.011520,0.686057
0.011538,0.686519
0.011594,0.686981
0.011618,0.687442
0.011680,0.687904
0.011686,0.688366
0.011697,0.688827
0.011797,0.689289
0.011834,0.691136
0.011890,0.691597
0.011997,0.692059
0.012046,0.692521
0.012064,0.692982
0.012091,0.693444
0.012117,0.693906
0.012135,0.694367
0.012135,0.694829
0.012140,0.695291
0.012288,0.695753
0.012316,0.696214
0.012326,0.696676
0.012377,0.697138
0.012377,0.697599
0.012399,0.698061
0.012428,0.698523
0.012445,0.698984
0.012482,0.699446
0.012504,0.699908
0.012514,0.700369
0.012641,0.700831
0.012671,0.701293
0.012857,0.701754
0.012864,0.702216
0.012903,0.703601
0.012943,0.704063
0.012950,0.704524
0.013068,0.704986
0.013101,0.705448
0.013110,0.705910
0.013167,0.706371
0.013179,0.706833
0.013387,0.707295
0.013420,0.707756
0.013511,0.708218
0.013531,0.708680
0.013543,0.709141
0.013681,0.709603
0.013758,0.710065
0.013758,0.710526
0.013797,0.710988
0.013844,0.711450
0.013930,0.711911
0.013970,0.713758
0.013973,0.714220
