edge,bet_cen_edge
'(7002, 1642)',0.002099112194444889
'(203, 6988)',0.0012391347368741533
'(6775, 6823)',0.002466091245376079
'(6817, 6818)',0.012449669821855466
'(6795, 676)',0.0032683666112903052
'(7087, 3924)',0.002466091245376079
'(6905, 3878)',0.0012340604750523919
'(6697, 3510)',0.007380006393569896
'(7059, 7180)',0.01629787230611794
'(6762, 7120)',0.0994911870212873
'(122, 6813)',0.002466091245376079
'(6635, 7062)',0.12886278042341562
'(6861, 6918)',0.002466091245376079
'(6597, 7105)',0.007380006393569896
'(6989, 1942)',0.0023949962242879085
'(5596, 5597)',0.007380006393569896
'(7041, 7042)',0.004765599245968101
'(6937, 7002)',0.003037513327393226
'(5506, 5513)',0.002466091245376079
'(7182, 6668)',0.019313888806108796
'(3510, 3515)',0.002466091245376079
'(6832, 6883)',0.0029301263410394587
'(6998, 7034)',0.004926093376566044
'(6747, 1267)',0.0024660912453760794
'(4378, 7176)',0.002707472045737562
'(6744, 6999)',0.00333977526070054
'(2457, 6638)',0.0025905925426407653
'(2843, 2845)',0.002466091245376079
'(6635, 6739)',0.05896242658920904
'(6763, 6694)',0.02234824236456662
'(6657, 6658)',0.009849857492813223
'(5606, 5609)',0.0009808187550874065
'(6986, 6801)',0.001874276299882548
'(6896, 5498)',0.013929940124849837
'(6945, 7003)',0.002845271298113062
'(6817, 177)',0.0056299512040024514
'(2498, 6913)',0.002466091245376079
'(7053, 5556)',0.002466091245376079
'(6848, 6849)',0.007380006393569896
'(7016, 3725)',0.0024660912453760794
'(6597, 6599)',0.004926093376566044
'(6938, 2551)',0.014775769907980487
'(6946, 7057)',0.002466091245376079
'(7106, 7108)',0.007380006393569896
'(4742, 4745)',0.002466091245376079
'(6858, 6859)',0.006768965097762223
'(2457, 6866)',0.0012340604750523919
'(2422, 6705)',0.013271531974066369
'(6811, 6870)',0.014558780428413406
'(6736, 7040)',0.002727039666668787
'(7006, 7007)',0.004926093376566044
'(6870, 1256)',0.0038672929996479543
'(6954, 6955)',0.0009176444102797161
'(6659, 7130)',0.00023148112146548515
'(7010, 7184)',0.006577724338703941
'(17, 7113)',0.007035982418190499
'(6825, 1199)',0.0015972290480728664
'(6795, 5282)',0.0032683666112903083
'(7109, 5752)',0.009827830296387634
'(6811, 6824)',0.00392153583275655
'(6833, 6787)',0.001352798201681611
'(6743, 4090)',0.002466091245376079
'(6680, 7158)',0.01015115451337638
'(6568, 7163)',0.002466091245376079
'(6691, 6692)',0.03501049891737133
'(6930, 6932)',0.0015712511239087304
'(7101, 7120)',0.11443086263946144
'(6933, 7092)',0.002466091245376079
'(2498, 6908)',0.003469357506753424
'(6932, 5699)',0.0018152609084501048
'(6739, 1690)',0.0024660912453760785
'(6776, 6892)',0.0022895069339787795
'(6794, 6962)',0.005476923992508061
'(6723, 6729)',0.013017613201616356
'(449, 457)',0.001727010234340009
'(6839, 6840)',0.003621790620009523
'(6871, 6801)',0.002466091245376079
'(7011, 7012)',0.0022115116264999775
'(6680, 6681)',0.011419813984740748
'(7014, 7061)',0.005641075047762505
'(6710, 7035)',0.004701147719150417
'(7063, 7064)',0.008796371964239807
'(6674, 5930)',0.0006431669731945068
'(7010, 7093)',0.002452920116911584
'(6894, 7133)',0.00751269310338306
'(6833, 6949)',0.016412077638057576
'(7143, 3566)',0.002466091245376079
'(6805, 2351)',0.002466091245376079
'(6726, 7158)',0.014485767729768987
'(6638, 6641)',0.002466091245376079
'(6885, 7202)',0.0058680467884731245
'(6932, 6972)',0.008984759707233047
'(6723, 6803)',0.013017613201616356
'(7023, 4612)',0.002466091245376079
'(6924, 4745)',0.004920004262379931
'(6838, 6968)',4.719063494238176e-05
'(6639, 6658)',0.05734680968160507
'(2116, 6801)',0.008464970321749647
'(6970, 7006)',0.016827267053325417
'(6908, 7063)',0.0015870150638720136
'(2187, 6719)',0.004563697216518593
'(6984, 1942)',0.0026090378138603925
'(6667, 6930)',0.000894840121467349
'(6707, 6906)',0.01758134197608869
'(3750, 3753)',0.002466091245376079
'(3750, 7112)',0.002466091245376079
'(6727, 6865)',0.008251649367261037
'(4449, 7023)',0.002466091245376079
'(7027, 7028)',0.004926093376566044
'(6626, 6672)',0.02525460008296269
'(6794, 6997)',0.019645178639926514
'(6811, 6982)',0.10236727820233779
'(6771, 6935)',0.008328527287996358
'(6934, 1633)',0.002466091245376079
'(6669, 7035)',0.005475865669660684
'(6934, 7203)',0.007380006393569896
'(6879, 6886)',0.002466091245376079
'(6786, 1308)',0.0036183131306321667
'(7114, 4016)',0.002466091245376079
'(6870, 7195)',0.002466091245376079
'(6688, 6717)',0.009417494073383013
'(6808, 7075)',0.009636635264377778
'(6848, 3778)',0.002466091245376079
'(6981, 1199)',0.006789494345355908
'(6634, 7127)',0.0042700605174916745
'(6652, 1991)',0.002466091245376079
'(1437, 6640)',0.0037299519493427333
'(7017, 5498)',0.0043700308526512174
'(6817, 1308)',0.0016404431945944507
'(6973, 6974)',0.002128933679925076
'(7059, 6097)',0.004745077543177735
'(6877, 6878)',0.002235568076915643
'(6806, 7059)',0.0018470313031211788
'(6929, 6970)',0.001743530859848163
'(2843, 7185)',0.004926093376566044
'(6777, 6894)',0.00914975044196009
'(6599, 7179)',0.002466091245376079
'(6634, 6635)',0.022122539111055158
'(4754, 6904)',0.002466091245376079
'(6637, 6658)',0.0013624022165602487
'(6638, 6640)',0.004643326814272546
'(4149, 6976)',0.002466091245376079
'(6922, 6950)',0.013042950574965453
'(2506, 6707)',0.0024660912453760785
'(6853, 6854)',0.0032073279256781243
'(7035, 7038)',0.002466091245376079
'(6938, 7142)',0.002466091245376079
'(6870, 7067)',0.006789881858384401
'(6777, 6826)',0.07996255531326463
'(6797, 7192)',0.004901736919821589
'(6904, 6942)',0.004926093376566044
'(6828, 7079)',0.022654333063214776
'(6906, 6741)',0.013097615850022866
'(6710, 6736)',0.0056730863263815216
'(7004, 7029)',0.002466091245376079
'(6655, 6811)',0.0809511198921288
'(2071, 6657)',0.002466091245376079
'(6707, 6708)',0.004994594516822698
'(6951, 7123)',0.018943933045912947
'(6816, 7087)',0.1501191448895813
'(7149, 7150)',0.0035768027712570786
'(6975, 4006)',0.002466091245376079
'(7122, 6073)',0.002466091245376079
'(6687, 6842)',0.012269565085019257
'(6657, 1740)',0.001101440358872883
'(6634, 1705)',0.002466091245376079
'(2457, 6657)',0.0011014403588728821
'(6464, 6753)',0.002463046688283022
'(6936, 3069)',2.8009925256123366e-05
'(7199, 6800)',1.2178228372227551e-05
'(6383, 6558)',0.003774077638601112
'(6568, 6931)',0.008846028290701056
'(6872, 1125)',0.0012340604750523917
'(2327, 6935)',0.015228763758700076
'(7016, 7017)',0.00206530113320715
'(6718, 6995)',0.002466091245376079
'(7058, 3069)',0.004170623150306396
'(6848, 7070)',0.012269565085019257
'(6706, 6709)',0.009491047302669642
'(6943, 6944)',0.0016750826827313448
'(1347, 6801)',0.00506684299075951
'(6738, 6793)',0.018286681926413115
'(6744, 6809)',0.004492076870713814
'(6791, 2533)',0.002466091245376079
'(6934, 1772)',0.002466091245376079
'(6660, 5247)',0.002466091245376079
'(6682, 5073)',0.007380006393569896
'(6757, 6758)',0.011521485959375655
'(6759, 7099)',0.002466091245376079
'(6734, 6735)',0.008671273129874764
'(6982, 997)',0.0032789879892222607
'(6972, 7053)',0.005546811143602544
'(6931, 6932)',0.024559200510109576
'(7069, 7131)',0.010239371720672226
'(6720, 6721)',0.004926093376566044
'(173, 6649)',0.0017270102343400087
'(7156, 7193)',0.010803996218948694
'(6843, 6844)',7.154709168683686e-05
'(7053, 5571)',0.002466091245376079
'(7087, 7124)',0.000633282373246752
'(6629, 7079)',0.0008592295322414141
'(6808, 6809)',0.002451851575999443
'(6728, 7069)',0.09690502561096172
'(4844, 7005)',9.362013061149929e-05
'(6806, 2351)',0.0027963242047362967
'(6558, 6757)',0.006170144070836872
'(6691, 6829)',0.0036544833640326175
'(6812, 6813)',0.0026475228766244473
'(7015, 7150)',0.002761144449040527
'(2144, 6801)',0.000621168287058591
'(6799, 6692)',0.007416149635631761
'(6664, 7014)',0.00348877259890891
'(4453, 6967)',0.0012340604750523919
'(4878, 7005)',0.00021692469288030325
'(7089, 7090)',0.032666004770387204
'(6758, 6951)',0.05371863764665596
'(6749, 6760)',0.008354658771922015
'(7059, 2351)',0.0021297691718297086
'(6928, 7085)',0.006726416099617912
'(6722, 6733)',0.0020330761473383746
'(6935, 7170)',0.002466091245376079
'(7068, 7069)',0.014705210759464767
'(6563, 6564)',3.0445570930568877e-06
'(7127, 1383)',0.0013614442166298586
'(6712, 6865)',0.0022409662425297815
'(6752, 6779)',0.0024660912453760794
'(6654, 5596)',0.009827830296387634
'(5073, 5078)',0.002463046688283022
'(6783, 6951)',0.017134767319724162
'(6684, 5354)',0.0012391347368741533
'(6832, 3688)',0.0012360093403722765
'(4220, 7010)',0.0024660912453760794
'(6631, 6795)',0.008998274077308967
'(6739, 6794)',0.026795446496239446
'(6922, 6142)',0.0027711499351450028
'(6697, 6692)',0.009827830296387634
'(7011, 5282)',0.00022928247205545495
'(6667, 7101)',0.12681496632252598
'(6826, 7087)',0.1057324945840028
'(6643, 7136)',0.002466091245376079
'(7134, 7194)',0.12891013193150613
'(6812, 7041)',0.002622890706492892
'(6921, 6943)',0.051319595109656904
'(7147, 3407)',0.0019052977854298525
'(6933, 6971)',0.009411967534219
'(6688, 6694)',0.009966529202497609
'(841, 7140)',0.0008250749722184197
'(6777, 6885)',0.016572669325942514
'(469, 6684)',0.0012391347368741533
'(6705, 2756)',0.006140871656695743
'(6639, 6779)',0.02354939179603629
'(7069, 7099)',0.004603353425494349
'(6144, 6383)',0.0023875407325866537
'(6736, 6793)',0.018846194352634835
'(6630, 6657)',0.002466091245376079
'(6733, 6971)',0.002961751730076154
'(2187, 7127)',0.0007205089339628321
'(7100, 5380)',0.002466091245376079
'(4646, 7148)',0.002466091245376079
'(7121, 7095)',0.002466091245376079
'(6932, 7097)',0.11433000533117314
'(6883, 7192)',0.005000177599163763
'(6556, 6882)',0.0024528981646395006
'(7117, 7118)',0.006612355852091781
'(7099, 5609)',0.0015035398328470135
'(6860, 7084)',0.005072232117032775
'(6977, 7144)',0.007380006393569896
'(6649, 6650)',0.0017642631226683825
'(6087, 6097)',0.0026795485260115138
'(6654, 7137)',0.035581198469158276
'(6835, 6842)',0.0019579945124669324
'(6460, 6819)',0.004884484429627602
'(6728, 7042)',0.022591262293359508
'(7167, 7168)',0.0001226923966796301
'(7004, 7030)',0.002466091245376079
'(5943, 6974)',0.0032357860267811893
'(7091, 7106)',0.007258220254767849
'(625, 7107)',0.01661701703775546
'(2274, 6915)',0.002466091245376079
'(6923, 3791)',0.002466091245376079
'(4493, 6700)',0.0020942469419902164
'(6719, 7008)',0.0024660912453760794
'(6643, 6877)',0.004926093376566044
'(4878, 6969)',0.007634016691421818
'(2756, 2766)',0.003690003196784948
'(6874, 7113)',0.004920004262379931
'(6633, 6634)',0.0014904447922028604
'(4538, 6654)',0.01620294649701712
'(6786, 6787)',0.015462331937296401
'(6898, 6985)',0.009456603276282831
'(4350, 4351)',0.002466091245376079
'(3509, 3510)',0.002466091245376079
'(2116, 7082)',0.0016713215119389477
'(2874, 7174)',0.004755598179354859
'(6938, 7067)',0.005733176820312034
'(7028, 5752)',0.007380006393569896
'(6814, 7156)',0.008447509028922662
